Arquivo TXT,Caminho TXT,Município (CSV),Decreto (original),Decreto (número extraído),Trecho Encontrado
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Minas Gerais,"Decreto nº 47.132, de 20/01/2017",47.132,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Paraná,DECRETO Nº 3513 - 18 DE FEVEREIRO DE 2016,3513,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Piauí,"DECRETO Nº 23.850, DE 23 DE MAIO DE 2025",23.850,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Rio Grande do Norte,"DECRETO Nº 31.067, DE 09 DE NOVEMBRO DE 2021.",31.067,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Sergipe,DECRETO Nº 30.874 DE 19 DE OUTUBRO DE 2017,30.874,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Tocantins,"DECRETO Nº 5.816, de 10 de maio de 2018.",5.816,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Porto Alegre (RS),"DECRETO Nº 19.775, DE 27 DE JUNHO DE 2017",19.775,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Rio de Janeiro (RJ),DECRETO Nº 42696 DE 26 DE DEZEMBRO DE 2016,42696,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Salvador (BA),DECRETO Nº 29.129 DE 10 DE NOVEMBRO DE 2017,29.129,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,São Luís (MA),"DECRETO N"" 49.304, DE 26 DE JULHO DE 2017",49.304,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Teresina (PI),"DECRETO Nº 16.802, DE 24 DE ABRIL DE 2017.",16.802,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Vitória (ES),"DECRETO Nº 17.131, DE 9 DE AGOSTO DE 2017.",17.131,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,João Pessoa (PB),DECRETO Nº 9.005/2017,9.005,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Amapá,"DECRETO Nº 6.525, DE 10 DE JUNHO DE 2025",6.525,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Ceará,"DECRETO Nº  14.986, de 16  de ABRIL de 2021.",14.986,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Pará,"DECRETO Nº 4.040, DE 05 DE JULHO DE 2024",4.040,"GOVERNO DO ESTADO DO PARÁ
SECRETARIA DE ESTADO DE MEIO AMBIENTE E SUSTENTABILIDADE
Ver no Diário Oficial
DECRETO Nº 4.040, DE 5 DE JULHO DE 2024
DOE nº 35.886, de 08/07/2024
Regulamenta a Lei Federal nº 13.019, de
31 de julho de 2014, para dispor sobre o
regime jurídico"
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Rio Grande do Sul,"DECRETO Nº 53.175, DE 25 DE AGOSTO DE 2016.",53.175,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Roraima,"Decreto Nº 32112, de 26 de abril de 2022",32112,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Santa Catarina,"Decreto Nº 1196, de 21 de junho de 2017",1196,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,São Paulo,"DECRETO Nº 61.981, DE 20 DE MAIO DE 2016",61.981,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,São Paulo (SP),DECRETO Nº 63.541 de 27 de Junho de 2024,63.541,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Fortaleza (CE),Decreto Municipal 14.986/2021,14.986,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Maranhão,"DECRETO Nº 32.724, DE 22 DE MARÇO DE 2017",32.724,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Florianópolis (SC),Decreto nº 21.966.2020,21.966,❌ Decreto não encontrado no texto
Para_MROSC,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\MROSC\estado\dados_extraidos\Para_MROSC.txt,Maceió (AL),Decreto nº 9.121.2021,9.121,❌ Decreto não encontrado no texto
